en,uk
hello,привіт
goodbye,до побачення
please,будь ласка
thank you,дякую
sorry,вибачте
yes,так
no,ні
morning,ранок
evening,вечір
night,ніч
friend,друг
family,родина
love,кохання
food,їжа
water,вода
house,будинок
city,місто
country,країна
school,школа
work,робота
computer,комп'ютер
language,мова
learn,вчитися
read,читати
write,писати
speak,говорити
listen,слухати
travel,подорожувати
music,музика
movie,фільм
book,книга
teacher,вчитель
student,студент
child,дитина
parent,батько
mother,мати
father,батько
sister,сестра
brother,брат
friendship,дружба
hope,надія
peace,мир
sun,сонце
moon,місяць
star,зірка
rain,дощ
snow,сніг
wind,вітер
warm,теплий
cold,холодний
happy,щасливий
sad,сумний
strong,сильний
weak,слабкий
fast,швидкий
slow,повільний
bright,яскравий
dark,темний
clean,чистий
dirty,брудний
open,відкривати
close,закривати
start,починати
finish,закінчувати
help,допомагати
play,грати
sleep,спати
eat,їсти
drink,пити
walk,ходити
run,бігти
sit,сидіти
stand,стояти
laugh,сміятися
smile,усміхатися
cry,плакати
think,думати
feel,відчувати
understand,розуміти
remember,пам'ятати
forget,забувати
choose,обирати
create,створювати
build,будувати
share,ділитися
care,дбати
believe,вірити
trust,довіряти
change,змінювати
improve,покращувати
connect,з'єднувати
celebrate,святкувати
learned,вивчений
practice,практикувати
progress,прогрес
success,успіх
future,майбутнє
present,теперішнє
past,минуле
journey,подорож
adventure,пригоди
